fueltype,aspiration,doornumber,carbody,drivewheel,wheelbase,carheight,enginetype,cylindernumber,fuelsystem,horsepower,peakrpm,citympg,carbrand,cartype,price
gas,std,two,hatchback,rwd,98.4,52.0,ohc,four,mpfi,116,4800,24,toyota,corolla,11549.0
gas,std,two,convertible,rwd,98.4,53.0,ohc,four,mpfi,116,4800,24,toyota,cressida,17669.0
gas,std,four,sedan,fwd,102.4,54.9,ohc,four,mpfi,92,4200,29,toyota,corolla,8948.0
diesel,turbo,four,sedan,fwd,102.4,54.9,ohc,four,idi,73,4500,30,toyota,celica gt,10698.0
gas,std,four,hatchback,fwd,102.4,53.9,ohc,four,mpfi,92,4200,27,toyota,corona,9988.0
gas,std,four,sedan,fwd,102.4,54.9,ohc,four,mpfi,92,4200,27,toyota,corolla,10898.0
gas,std,four,hatchback,fwd,102.4,53.9,ohc,four,mpfi,92,4200,27,toyota,mark ii,11248.0
gas,std,two,hatchback,rwd,102.9,52.0,dohc,six,mpfi,161,5200,20,toyota,corolla liftback,16558.0
gas,std,two,hatchback,rwd,102.9,52.0,dohc,six,mpfi,161,5200,19,toyota,corona,15998.0
gas,std,four,sedan,rwd,104.5,54.1,dohc,six,mpfi,156,5200,20,toyota,starlet,15690.0
gas,std,four,wagon,rwd,104.5,54.1,dohc,six,mpfi,156,5200,19,toyouta,tercel,15750.0
diesel,std,two,sedan,fwd,97.3,55.7,ohc,four,idi,52,4800,37,vokswagen,rabbit,7775.0
gas,std,two,sedan,fwd,97.3,55.7,ohc,four,mpfi,85,5250,27,volkswagen,1131 deluxe sedan,7975.0
diesel,std,four,sedan,fwd,97.3,55.7,ohc,four,idi,52,4800,37,volkswagen,model 111,7995.0
gas,std,four,sedan,fwd,97.3,55.7,ohc,four,mpfi,85,5250,27,volkswagen,type 3,8195.0
gas,std,four,sedan,fwd,97.3,55.7,ohc,four,mpfi,85,5250,27,volkswagen,411 (sw),8495.0
diesel,turbo,four,sedan,fwd,97.3,55.7,ohc,four,idi,68,4500,37,volkswagen,super beetle,9495.0
gas,std,four,sedan,fwd,97.3,55.7,ohc,four,mpfi,100,5500,26,volkswagen,dasher,9995.0
gas,std,two,convertible,fwd,94.5,55.6,ohc,four,mpfi,90,5500,24,vw,dasher,11595.0
gas,std,two,hatchback,fwd,94.5,51.4,ohc,four,mpfi,90,5500,24,vw,rabbit,9980.0
gas,std,four,sedan,fwd,100.4,55.1,ohc,five,mpfi,110,5500,19,volkswagen,rabbit,13295.0
diesel,turbo,four,sedan,fwd,100.4,55.1,ohc,four,idi,68,4500,33,volkswagen,rabbit custom,13845.0
gas,std,four,wagon,fwd,100.4,55.1,ohc,four,mpfi,88,5500,25,volkswagen,dasher,12290.0
gas,std,four,sedan,rwd,104.3,56.2,ohc,four,mpfi,114,5400,23,volvo,145e (sw),12940.0
gas,std,four,wagon,rwd,104.3,57.5,ohc,four,mpfi,114,5400,23,volvo,144ea,13415.0
gas,std,four,sedan,rwd,104.3,56.2,ohc,four,mpfi,114,5400,24,volvo,244dl,15985.0
gas,std,four,wagon,rwd,104.3,57.5,ohc,four,mpfi,114,5400,24,volvo,245,16515.0
gas,turbo,four,sedan,rwd,104.3,56.2,ohc,four,mpfi,162,5100,17,volvo,264gl,18420.0
gas,turbo,four,wagon,rwd,104.3,57.5,ohc,four,mpfi,162,5100,17,volvo,diesel,18950.0
gas,std,four,sedan,rwd,109.1,55.5,ohc,four,mpfi,114,5400,23,volvo,145e (sw),16845.0
gas,turbo,four,sedan,rwd,109.1,55.5,ohc,four,mpfi,160,5300,19,volvo,144ea,19045.0
gas,std,four,sedan,rwd,109.1,55.5,ohcv,six,mpfi,134,5500,18,volvo,244dl,21485.0
diesel,turbo,four,sedan,rwd,109.1,55.5,ohc,six,idi,106,4800,26,volvo,246,22470.0
gas,turbo,four,sedan,rwd,109.1,55.5,ohc,four,mpfi,114,5400,19,volvo,264gl,22625.0
